City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Rurrenabaque,BO,-14.4413,-67.5278,91.29,62,20,11.5,few clouds
182,Harper,LR,4.375,-7.7169,80.78,78,59,8.1,broken clouds
183,Kidal,ML,18.4411,1.4078,67.39,11,0,10.94,clear sky
184,Morden,CA,49.1919,-98.1014,-7.17,71,44,6.91,scattered clouds
185,Isangel,VU,-19.55,169.2667,76.8,94,100,15.66,moderate rain
186,Santa Clara,CU,22.4,-79.9667,84.97,65,75,12.66,broken clouds
187,Lata,PT,40.1629,-8.3327,54.05,93,100,2.75,overcast clouds
188,Bengkulu,ID,-3.8004,102.2655,73.49,95,100,5.73,overcast clouds
189,Popondetta,PG,-8.7537,148.2534,74.52,91,91,3.02,overcast clouds
190,Qaanaaq,GL,77.484,-69.3632,-4.92,64,100,9.28,overcast clouds
191,Red Bluff,US,40.1785,-122.2358,61.61,35,0,4.61,clear sky
192,Lompoc,US,34.6391,-120.4579,69.12,40,0,0.0,clear sky
193,Wyndham,US,37.6985,-77.6125,69.15,86,100,1.99,overcast clouds
194,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,12.66,broken clouds
195,East London,ZA,-33.0153,27.9116,68.56,84,100,7.45,light rain
196,Nantucket,US,41.2835,-70.0995,39.96,93,100,16.11,moderate rain
197,Cootamundra,AU,-34.65,148.0333,56.21,72,0,10.31,clear sky
198,Ewa Beach,US,21.3156,-158.0072,76.69,65,0,5.75,clear sky
199,Barberton,ZA,-25.7884,31.0532,71.65,91,100,2.98,light rain
200,Alice Town,BS,25.7167,-79.3,74.77,68,0,11.25,clear sky
201,Narsaq,GL,60.9167,-46.05,7.02,62,51,21.63,broken clouds
202,Laguna,US,38.421,-121.4238,65.01,55,20,1.01,few clouds
203,Sao Filipe,CV,14.8961,-24.4956,74.03,71,0,8.7,clear sky
204,Aksum,ET,14.1245,38.7244,62.4,56,22,6.33,few clouds
205,Tiksi,RU,71.6872,128.8694,-18.81,98,100,6.42,overcast clouds
206,Takoradi,GH,4.8845,-1.7554,81.19,77,58,7.72,broken clouds
207,Viedma,AR,-40.8135,-62.9967,70.74,62,100,13.82,light rain
208,San Isidro,PE,-12.1167,-77.05,76.5,76,0,1.99,clear sky
209,Kolding,DK,55.4904,9.4722,37.76,93,100,9.22,overcast clouds
210,Gazanjyk,TM,39.2446,55.5154,55.08,36,99,7.11,overcast clouds
211,Srednekolymsk,RU,67.45,153.6833,-34.44,100,100,0.67,overcast clouds
212,Araguacu,BR,-12.9306,-49.8264,87.03,62,21,3.11,few clouds
