City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Moerai,PF,78.37,light rain,-22.4333,-151.3333,Le Manotel
488,Bandarbeyla,SO,75.38,clear sky,9.4942,50.8122,JABIR HOTEL
491,Sabang,ID,82.62,broken clouds,5.8933,95.3214,Hotel Citra
493,Ovalle,CL,85.1,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
494,Sao Miguel Do Araguaia,BR,86.94,few clouds,-13.275,-50.1628,Hotel Executivo Palace
495,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
496,Banda Aceh,ID,78.26,broken clouds,5.5577,95.3222,Sulthan Hotel International
499,Sapele,NG,83.57,few clouds,5.8941,5.6767,Movig Hotel & Suites
509,Bubaque,GW,78.62,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
510,Rocha,UY,78.53,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
511,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
519,Nisia Floresta,BR,81.41,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
522,North Fort Myers,US,85.24,clear sky,26.6673,-81.8801,Best Western Fort Myers Waterfront
523,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
528,Manokwari,ID,77.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
536,Rio Grande,BR,82.94,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
543,Waingapu,ID,77.94,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
547,Lima Duarte,BR,81.16,moderate rain,-21.8425,-43.7931,Gabvini Hotel!
554,Kipini,KE,79.09,broken clouds,-2.5257,40.5262,Delta Sea Mall
558,Yenagoa,NG,82.63,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
568,Havelock,US,79.05,scattered clouds,34.8791,-76.9013,Sherwood Motel
571,Altamira,BR,86.09,moderate rain,-3.2033,-52.2064,Requinte Hotel
576,Bambanglipuro,ID,76.84,moderate rain,-7.95,110.2833,Puri Brata
578,San Juan,AR,85.26,few clouds,-31.5375,-68.5364,Hotel Provincial
580,Omboue,GA,78.4,broken clouds,-1.5746,9.2618,Hotel Olako
581,Cape Canaveral,US,86.18,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
582,Mayumba,GA,77.59,few clouds,-3.432,10.6554,LIKWALE LODGE
584,Buala,SB,80.6,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
587,Santa Vitoria Do Palmar,BR,81.19,few clouds,-33.5189,-53.3681,Hostel Comodoro
589,Carolina,PR,75.76,overcast clouds,18.3808,-65.9574,Motel Fantasy Star
592,Coruripe,BR,83.8,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
593,Grenville,GD,84.25,clear sky,12.1167,-61.6167,Valley Breeze Guest House
598,Belle Glade,US,83.01,scattered clouds,26.6845,-80.6676,Mid-City Trailer Park
599,La Gomera,GT,89.31,clear sky,14.0833,-91.05,Cede.E.T.V
600,Dillon,US,77.99,overcast clouds,34.4166,-79.3712,Dillon Express Inn
604,Macaubas,BR,85.23,overcast clouds,-13.0194,-42.6986,Hotel Portal
608,Trincomalee,LK,78.15,clear sky,8.5711,81.2335,Welcombe Hotel
611,Manggar,ID,78.04,broken clouds,-2.8833,108.2667,Guest Hotel
613,Ende,ID,78.24,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
618,Boromo,BF,82.09,overcast clouds,11.75,-2.9333,Sama Camp
620,Kandrian,PG,79.23,broken clouds,-6.2167,149.55,Kandrian Station
625,Mersing,MY,80.51,overcast clouds,2.4312,103.8405,Timotel Hotel
626,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
628,North Charleston,US,77.11,broken clouds,32.8886,-80.0075,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel"
633,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
650,Hobyo,SO,76.78,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
651,Paranapanema,BR,75.65,overcast clouds,-23.3886,-48.7228,Hotel Beira Rio
654,Kailua,US,76.75,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
659,Gizo,SB,82.35,overcast clouds,-8.103,156.8419,Imagination Island
661,Santa Isabel,BR,84.65,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
664,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
668,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
670,Pemangkat,ID,76.17,light rain,1.1667,108.9667,Ramah Kost KITA
672,Black River,JM,82.4,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
674,Davila,PH,75.4,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
682,Ammapettai,IN,79.48,scattered clouds,10.8,79.3333,புகழ் ரெஸ்டாரண்ட்
