City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
34,Santa Isabel Do Rio Negro,BR,2022-02-01 21:06:43,-0.4139,-65.0192,83.05,77,100,2.59
35,Hithadhoo,MV,2022-02-01 21:06:43,-0.6,73.0833,82.45,72,5,11.39
36,Butaritari,KI,2022-02-01 21:06:44,3.0707,172.7902,81.55,76,55,10.45
37,Rikitea,PF,2022-02-01 21:01:46,-23.1203,-134.9692,78.21,70,91,5.97
38,Georgetown,MY,2022-02-01 21:06:45,5.4112,100.3354,82.33,80,20,0.0
39,Busselton,AU,2022-02-01 21:06:46,-33.65,115.3333,61.05,67,21,18.28
40,Albany,US,2022-02-01 21:05:33,42.6001,-73.9662,34.88,53,42,3.0
41,Sao Filipe,CV,2022-02-01 21:05:54,14.8961,-24.4956,74.73,75,84,2.42
42,Tiksi,RU,2022-02-01 21:06:47,71.6872,128.8694,-13.72,99,100,4.5
43,Trofors,NO,2022-02-01 21:06:48,65.5333,13.4063,22.35,92,100,5.55
44,Menongue,AO,2022-02-01 21:06:48,-14.6585,17.691,64.85,51,100,4.43
45,Labuhan,ID,2022-02-01 21:07:49,-6.8844,112.2051,76.77,89,88,5.95
46,Bethel,US,2022-02-01 21:07:49,41.3712,-73.414,35.96,62,75,8.05
47,Kamenka,RU,2022-02-01 21:07:50,51.3223,42.7678,29.75,94,99,9.22
48,Bonavista,CA,2022-02-01 21:07:50,48.6499,-53.1147,26.11,58,95,19.8
49,Sitka,US,2022-02-01 21:07:51,57.0531,-135.33,33.69,69,75,4.61
50,Kapaa,US,2022-02-01 21:07:52,22.0752,-159.319,78.12,69,40,1.99
51,Kaitangata,NZ,2022-02-01 21:07:52,-46.2817,169.8464,63.39,88,100,4.54
52,Port Alfred,ZA,2022-02-01 21:07:53,-33.5906,26.891,77.23,82,100,9.15
53,Syedove,UA,2022-02-01 21:07:53,47.0768,38.156,35.01,94,100,8.88
54,Bowmore,US,2022-02-01 21:07:54,34.9421,-79.3031,55.24,40,0,1.99
55,Saint-Philippe,RE,2022-02-01 21:04:03,-21.3585,55.7679,81.95,91,96,21.39
56,Chuy,UY,2022-02-01 21:03:28,-33.6971,-53.4616,71.35,51,0,9.57
57,Kavieng,PG,2022-02-01 21:07:55,-2.5744,150.7967,79.02,82,100,6.06
58,Sri Aman,MY,2022-02-01 21:07:56,1.2376,111.4621,71.64,99,96,0.87
59,Abilene,US,2022-02-01 21:03:07,32.4487,-99.7331,73.18,32,0,4.0
60,Tomatlan,MX,2022-02-01 21:07:57,19.9333,-105.25,90.82,21,0,12.44
61,Roald,NO,2022-02-01 21:04:39,62.5833,6.1333,37.33,80,75,6.91
62,San Patricio,US,2022-02-01 21:07:57,28.017,-97.5169,77.18,47,5,1.7
63,Hermanus,ZA,2022-02-01 21:07:58,-34.4187,19.2345,69.91,84,24,2.26
64,Los Llanos De Aridane,ES,2022-02-01 21:07:59,28.6585,-17.9182,62.35,59,75,5.75
65,Longyearbyen,SJ,2022-02-01 21:07:59,78.2186,15.6401,22.84,58,75,4.61
66,Felanitx,ES,2022-02-01 21:08:00,39.4696,3.1483,54.01,67,3,4.63
67,Norman Wells,CA,2022-02-01 21:08:00,65.282,-126.8329,-10.23,99,88,2.42
68,Savelugu,GH,2022-02-01 21:08:01,9.6244,-0.8253,79.57,11,15,7.43
69,Castro,BR,2022-02-01 21:07:59,-24.7911,-50.0119,75.72,72,4,4.79
70,Trelleborg,SE,2022-02-01 21:08:02,55.3751,13.1569,41.38,83,100,26.42
71,Broome,US,2022-02-01 21:03:20,42.2506,-75.833,36.21,53,0,5.01
72,Saskylakh,RU,2022-02-01 21:08:03,71.9167,114.0833,-28.08,100,51,1.39
73,Thompson,CA,2022-02-01 21:08:04,55.7435,-97.8558,-12.68,85,68,11.79
74,Mehamn,NO,2022-02-01 21:08:04,71.0357,27.8492,23.18,68,0,23.02
75,Markivka,UA,2022-02-01 21:08:05,49.5229,39.5705,32.36,99,100,5.93
76,Ribeira Grande,PT,2022-02-01 21:08:06,38.5167,-28.7,59.4,77,20,10.36
77,Korla,CN,2022-02-01 21:08:07,41.7597,86.1469,23.02,45,22,2.01
78,Lazdijai,LT,2022-02-01 21:08:07,54.2333,23.5167,28.04,94,100,10.02
79,Paamiut,GL,2022-02-01 21:08:08,61.994,-49.6678,14.32,82,100,11.03
80,Palmer,US,2022-02-01 21:03:30,42.1584,-72.3287,35.24,62,75,1.01
81,Ouesso,CG,2022-02-01 21:08:09,1.6136,16.0517,74.19,30,56,1.72
82,Nishihara,JP,2022-02-01 21:08:10,26.1842,127.7558,61.88,82,100,10.36
83,Yellowknife,CA,2022-02-01 21:05:20,62.456,-114.3525,-18.58,72,12,11.01
84,Armizonskoye,RU,2022-02-01 21:08:11,55.9461,67.6736,7.29,97,29,7.96
85,Shuangcheng,CN,2022-02-01 21:08:11,45.35,126.2833,-8.43,100,26,3.56
86,Veseloyarsk,RU,2022-02-01 21:08:12,51.2836,81.1056,-5.8,90,34,6.6
87,Vaini,TO,2022-02-01 21:08:13,-21.2,-175.2,84.36,74,20,6.91
88,Puerto Ayora,EC,2022-02-01 21:08:13,-0.7393,-90.3518,80.56,92,76,4.0
89,Nanlong,CN,2022-02-01 21:05:13,31.3533,106.0631,42.42,84,100,3.36
90,Marrakesh,MA,2022-02-01 21:08:14,31.6315,-8.0083,62.67,29,2,6.91
91,Polunochnoye,RU,2022-02-01 21:08:15,60.8697,60.4153,9.99,96,100,0.38
92,Cidreira,BR,2022-02-01 21:08:16,-30.1811,-50.2056,74.32,67,8,9.28
93,Sinnamary,GF,2022-02-01 21:09:16,5.3833,-52.95,77.97,85,99,13.56
94,Najran,SA,2022-02-01 21:09:17,17.4924,44.1277,64.87,37,3,3.2
95,Fort Nelson,CA,2022-02-01 21:06:00,58.8053,-122.7002,-3.84,91,78,1.57
96,Staryy Nadym,RU,2022-02-01 21:09:18,65.6118,72.6842,-13.32,100,84,5.97
97,Yumen,CN,2022-02-01 21:09:19,40.2833,97.2,18.01,28,7,5.19
98,Asau,RO,2022-02-01 21:04:34,46.4333,26.4,32.95,78,100,3.33
99,Nikolskoye,RU,2022-02-01 21:09:20,59.7035,30.7861,24.69,98,100,2.86
100,Rio Grande,BR,2022-02-01 21:09:20,-32.035,-52.0986,78.91,54,0,11.97
101,Tasquillo,MX,2022-02-01 21:09:21,20.55,-99.3,79.14,13,0,15.9
102,Susangerd,IR,2022-02-01 21:09:22,31.5608,48.1831,55.42,65,0,11.63
103,Pevek,RU,2022-02-01 21:09:22,69.7008,170.3133,-12.44,86,98,3.49
104,La Ronge,CA,2022-02-01 21:09:23,55.1001,-105.2842,-5.46,87,100,12.08
